metric_name,exact_definition,direction_of_improvement,calculation_population,scope,threshold_dependent,confidence_interval_or_test,unavailable_handling
roc_auc,Area under the ROC curve: probability a random event receives a higher score than a random non-event.,higher,held-out fold or locked OOT,DEV and OOT,no,"paired DeLong plus paired target-stratified 2,000-repetition percentile bootstrap where registered",Leave blank/NA with explicit status and reason; never substitute zero.
gini,2 × ROC-AUC − 1.,higher,same as ROC-AUC,DEV and OOT,no,not separately tested,Leave blank/NA with explicit status and reason; never substitute zero.
ks,Maximum empirical true-positive-rate minus false-positive-rate across score thresholds.,higher,held-out fold or locked OOT,DEV and OOT,no for maximum statistic,paired bootstrap for registered third-dataset comparisons,Leave blank/NA with explicit status and reason; never substitute zero.
ks_threshold,Score threshold at which the empirical KS maximum occurs; descriptive held-out diagnostic.,neither,held-out fold or locked OOT,DEV and OOT,yes,none,Leave blank/NA with explicit status and reason; never substitute zero.
frozen_decision_threshold,KS-maximizing threshold learned on the fitting partition; full-DEV training scores for OOT; never optimized on OOT.,neither,training scores then held-out application,DEV and OOT,yes,none,Leave blank/NA with explicit status and reason; never substitute zero.
log_loss,Mean negative Bernoulli log likelihood of predicted probabilities.,lower,held-out fold or locked OOT,DEV and OOT,no,descriptive,Leave blank/NA with explicit status and reason; never substitute zero.
brier,Mean squared error between event indicator and predicted probability.,lower,held-out fold or locked OOT,DEV and OOT,no,descriptive,Leave blank/NA with explicit status and reason; never substitute zero.
accuracy,Share of frozen-threshold class predictions equal to target.,"higher, prevalence-dependent",held-out fold or locked OOT,DEV and OOT,yes,descriptive,Leave blank/NA with explicit status and reason; never substitute zero.
precision,TP/(TP+FP) at the frozen decision threshold.,higher,held-out fold or locked OOT,DEV and OOT,yes,descriptive,Leave blank/NA with explicit status and reason; never substitute zero.
recall_sensitivity,TP/(TP+FN) at the frozen decision threshold.,higher,held-out fold or locked OOT,DEV and OOT,yes,descriptive,Leave blank/NA with explicit status and reason; never substitute zero.
f1,Harmonic mean of precision and recall at the frozen threshold.,higher,held-out fold or locked OOT,DEV and OOT,yes,descriptive,Leave blank/NA with explicit status and reason; never substitute zero.
lift_at_10,Event rate in highest-risk score decile divided by overall event rate.,higher,held-out fold or locked OOT,DEV and OOT,rank cutoff,paired bootstrap where registered,Leave blank/NA with explicit status and reason; never substitute zero.
bad_rate_capture_at_10,Share of all events captured in the highest-risk score decile.,higher,held-out fold or locked OOT,DEV and OOT,rank cutoff,descriptive,Leave blank/NA with explicit status and reason; never substitute zero.
score_psi,Population Stability Index comparing DEV out-of-fold score bins with locked OOT scores.,lower drift,DEV OOF reference versus OOT,OOT drift,no,"descriptive; original 0.10/0.25 bands are monitoring descriptors, not tests",Leave blank/NA with explicit status and reason; never substitute zero.
selected_feature_psi,Type-aware PSI for selected original features between DEV and OOT; numeric and categorical definitions remain distinct.,lower drift,selected features with DEV reference,OOT drift,no,descriptive,Leave blank/NA with explicit status and reason; never substitute zero.
mean_pairwise_jaccard,Mean |A∩B|/|A∪B| over available fold selection sets.,higher stability,fold-selected feature sets,DEV,no,descriptive,Leave blank/NA with explicit status and reason; never substitute zero.
nogueira_stability,Registered chance-corrected feature-selection stability estimator.,higher stability,fold-selected feature sets,DEV,no,descriptive where authenticated,Leave blank/NA with explicit status and reason; never substitute zero.
kuncheva_stability,Chance-adjusted overlap for fixed-size selection sets.,higher stability,equal-size fold selections,DEV,no,descriptive; unavailable for inapplicable natural support,Leave blank/NA with explicit status and reason; never substitute zero.
selection_frequency,Number of folds selecting a feature divided by available authenticated fold sets; companion field also divides by all five registered folds.,context-dependent,authenticated fold selection sets,DEV,no,descriptive,Leave blank/NA with explicit status and reason; never substitute zero.
runtime_seconds,Recorded wall-clock or component elapsed seconds.,lower resource use,fit/evaluation cell,DEV and OOT,no,descriptive,Leave blank/NA with explicit status and reason; never substitute zero.
peak_process_tree_rss,Maximum resident bytes for the monitored process tree.,lower resource use,authenticated worker/controller scope,DEV and OOT where recorded,no,descriptive,Leave blank/NA with explicit status and reason; never substitute zero.
llm_requests_tokens_cost,"Authenticated physical/logical request counts, provider tokens, and bounded monetary cost where recorded.",lower resource use,LLM ranking generation,selection,no,descriptive; missing token/cost remains unavailable,Leave blank/NA with explicit status and reason; never substitute zero.
auc_effect_size,"Comparator ROC-AUC minus registered reference ROC-AUC on identical OOT rows, or paired-fold mean delta in the original diagnostic.",positive favors comparator,registered pair,DEV diagnostic or OOT,no,paired bootstrap interval for OOT; none for five-fold Wilcoxon diagnostic,Leave blank/NA with explicit status and reason; never substitute zero.
delong_p_value,Two-sided paired DeLong test for AUC difference on identical OOT rows.,smaller against null,paired OOT predictions,OOT,no,Holm adjusted within frozen dataset-model-reference family,Leave blank/NA with explicit status and reason; never substitute zero.
holm_adjusted_p,Step-down Holm familywise-error adjusted p-value.,smaller against null,frozen comparison family,DEV diagnostic or OOT,no,strict adjusted p < .05 where registered,Leave blank/NA with explicit status and reason; never substitute zero.
pr_auc,Not registered in the final evidence; therefore not calculated or plotted.,not applicable,not applicable,not registered,no,not registered,Leave blank/NA with explicit status and reason; never substitute zero.
specificity,Not registered as a reported final metric; confusion counts remain available where sealed.,not applicable,not applicable,not registered,yes,not registered,Leave blank/NA with explicit status and reason; never substitute zero.
