evidence_cohort,dataset,cell_id,method_id,model,selection_scope,rank,feature,semantic_group,role,source_artifact,source_sha256
canonical_llm_matrix_v2,homecredit,lr_statistical_mrmr_53a793cb32fe,mrmr,lr,full_DEV_for_OOT,1,EXT_SOURCE_2,external_score,classical_selected,D:\python projects\Research_pre_cleanup_backup_20260704\results\homecredit\lr\statistical\lr_statistical_mrmr_53a793cb32fe\features\final_selected_features.csv,f4b44c0570df13be5f3a716a2d187a09b96a1c7da1d9dde976fbf42707ab78ee
canonical_llm_matrix_v2,homecredit,lr_statistical_mrmr_53a793cb32fe,mrmr,lr,full_DEV_for_OOT,2,EXT_SOURCE_3,external_score,classical_selected,D:\python projects\Research_pre_cleanup_backup_20260704\results\homecredit\lr\statistical\lr_statistical_mrmr_53a793cb32fe\features\final_selected_features.csv,f4b44c0570df13be5f3a716a2d187a09b96a1c7da1d9dde976fbf42707ab78ee
canonical_llm_matrix_v2,homecredit,lr_statistical_mrmr_53a793cb32fe,mrmr,lr,full_DEV_for_OOT,3,PREV_INTEREST_ESTIMATE_MAX,previous_application_behavior,classical_selected,D:\python projects\Research_pre_cleanup_backup_20260704\results\homecredit\lr\statistical\lr_statistical_mrmr_53a793cb32fe\features\final_selected_features.csv,f4b44c0570df13be5f3a716a2d187a09b96a1c7da1d9dde976fbf42707ab78ee
canonical_llm_matrix_v2,homecredit,lr_statistical_mrmr_53a793cb32fe,mrmr,lr,full_DEV_for_OOT,4,EXT_SOURCE_1,external_score,classical_selected,D:\python projects\Research_pre_cleanup_backup_20260704\results\homecredit\lr\statistical\lr_statistical_mrmr_53a793cb32fe\features\final_selected_features.csv,f4b44c0570df13be5f3a716a2d187a09b96a1c7da1d9dde976fbf42707ab78ee
canonical_llm_matrix_v2,homecredit,lr_statistical_mrmr_53a793cb32fe,mrmr,lr,full_DEV_for_OOT,5,BURO_DEBT_CREDIT_DIFF_MIN,bureau_debt,classical_selected,D:\python projects\Research_pre_cleanup_backup_20260704\results\homecredit\lr\statistical\lr_statistical_mrmr_53a793cb32fe\features\final_selected_features.csv,f4b44c0570df13be5f3a716a2d187a09b96a1c7da1d9dde976fbf42707ab78ee
canonical_llm_matrix_v2,homecredit,lr_statistical_mrmr_53a793cb32fe,mrmr,lr,full_DEV_for_OOT,6,DAYS_EMPLOYED,income_capacity,classical_selected,D:\python projects\Research_pre_cleanup_backup_20260704\results\homecredit\lr\statistical\lr_statistical_mrmr_53a793cb32fe\features\final_selected_features.csv,f4b44c0570df13be5f3a716a2d187a09b96a1c7da1d9dde976fbf42707ab78ee
canonical_llm_matrix_v2,homecredit,lr_statistical_mrmr_53a793cb32fe,mrmr,lr,full_DEV_for_OOT,7,INSTAL_IS_LATE_MEAN,installment_repayment_behavior,classical_selected,D:\python projects\Research_pre_cleanup_backup_20260704\results\homecredit\lr\statistical\lr_statistical_mrmr_53a793cb32fe\features\final_selected_features.csv,f4b44c0570df13be5f3a716a2d187a09b96a1c7da1d9dde976fbf42707ab78ee
canonical_llm_matrix_v2,homecredit,lr_statistical_mrmr_53a793cb32fe,mrmr,lr,full_DEV_for_OOT,8,CC_CNT_DRAWINGS_ATM_CURRENT_MEAN,credit_card_utilization,classical_selected,D:\python projects\Research_pre_cleanup_backup_20260704\results\homecredit\lr\statistical\lr_statistical_mrmr_53a793cb32fe\features\final_selected_features.csv,f4b44c0570df13be5f3a716a2d187a09b96a1c7da1d9dde976fbf42707ab78ee
canonical_llm_matrix_v2,homecredit,lr_statistical_mrmr_53a793cb32fe,mrmr,lr,full_DEV_for_OOT,9,DAYS_REGISTRATION,demographic_time_variables,classical_selected,D:\python projects\Research_pre_cleanup_backup_20260704\results\homecredit\lr\statistical\lr_statistical_mrmr_53a793cb32fe\features\final_selected_features.csv,f4b44c0570df13be5f3a716a2d187a09b96a1c7da1d9dde976fbf42707ab78ee
canonical_llm_matrix_v2,homecredit,lr_statistical_mrmr_53a793cb32fe,mrmr,lr,full_DEV_for_OOT,10,POS_SK_DPD_DEF_MEAN,delinquency_behavior,classical_selected,D:\python projects\Research_pre_cleanup_backup_20260704\results\homecredit\lr\statistical\lr_statistical_mrmr_53a793cb32fe\features\final_selected_features.csv,f4b44c0570df13be5f3a716a2d187a09b96a1c7da1d9dde976fbf42707ab78ee
