method_id,method_name,method_family,supervision,k_rule,fit_scope,llm_request_required,authenticated_numeric_dev_evaluations,numeric_oot_cells_or_cached_states,homecredit_availability,lendingclub_v2_availability,third_dataset_availability,provenance_or_limitation
full_features,Full features,baseline,target-free ranking,model-specific K=20 LR / K=40 CatBoost unless natural-support or full-feature identity,fold training and full DEV where registered,False,0,4,numeric 2/2,numeric 2/2,unavailable 0/2,Canonical identity taken from sealed matrix/registry; support may be natural rather than padded where declared.
random_k,Random K,baseline,target-free ranking,model-specific K=20 LR / K=40 CatBoost unless natural-support or full-feature identity,fold training and full DEV where registered,False,5,6,numeric 2/2,numeric 2/2,numeric 2/2,Canonical identity taken from sealed matrix/registry; support may be natural rather than padded where declared.
domain_rule_baseline,Domain rules,baseline,target-free ranking,model-specific K=20 LR / K=40 CatBoost unless natural-support or full-feature identity,fold training and full DEV where registered,False,20,4,numeric 2/2,numeric 2/2,not registered,Canonical identity taken from sealed matrix/registry; support may be natural rather than padded where declared.
iv_woe,IV/WOE,classical,supervised,model-specific K=20 LR / K=40 CatBoost unless natural-support or full-feature identity,fold training and full DEV where registered,False,10,6,numeric 2/2,numeric 2/2,numeric 2/2,Canonical identity taken from sealed matrix/registry; support may be natural rather than padded where declared.
mrmr,mRMR (legacy),classical,supervised,model-specific K=20 LR / K=40 CatBoost unless natural-support or full-feature identity,fold training and full DEV where registered,False,20,4,numeric 2/2,numeric 2/2,not registered,Canonical identity taken from sealed matrix/registry; support may be natural rather than padded where declared.
mrmr_mutual_information,mRMR (MI),classical,supervised,model-specific K=20 LR / K=40 CatBoost unless natural-support or full-feature identity,fold training and full DEV where registered,False,10,6,numeric 2/2,numeric 2/2,numeric 2/2,Canonical identity taken from sealed matrix/registry; support may be natural rather than padded where declared.
lasso_l1_logistic,L1 logistic,classical,supervised,model-specific K=20 LR / K=40 CatBoost unless natural-support or full-feature identity,fold training and full DEV where registered,False,2,4,numeric 2/2,numeric 2/2,unavailable 0/2,Canonical identity taken from sealed matrix/registry; support may be natural rather than padded where declared.
legacy_rf_relevance_corr,RF relevance/corr.,classical,supervised,model-specific K=20 LR / K=40 CatBoost unless natural-support or full-feature identity,fold training and full DEV where registered,False,10,6,numeric 2/2,numeric 2/2,numeric 2/2,Canonical identity taken from sealed matrix/registry; support may be natural rather than padded where declared.
catboost_shap,CatBoost SHAP,classical,supervised,model-specific K=20 LR / K=40 CatBoost unless natural-support or full-feature identity,fold training and full DEV where registered,False,10,6,numeric 2/2,numeric 2/2,numeric 2/2,Canonical identity taken from sealed matrix/registry; support may be natural rather than padded where declared.
boruta,Boruta (legacy),classical,supervised,model-specific K=20 LR / K=40 CatBoost unless natural-support or full-feature identity,fold training and full DEV where registered,False,20,4,numeric 2/2,numeric 2/2,not registered,Canonical identity taken from sealed matrix/registry; support may be natural rather than padded where declared.
boruta_random_forest,Boruta RF,classical,supervised,model-specific K=20 LR / K=40 CatBoost unless natural-support or full-feature identity,fold training and full DEV where registered,False,6,4,numeric 2/2,numeric 2/2,unavailable 0/2,Canonical identity taken from sealed matrix/registry; support may be natural rather than padded where declared.
rfe_catboost,RFE CatBoost,classical,supervised,model-specific K=20 LR / K=40 CatBoost unless natural-support or full-feature identity,fold training and full DEV where registered,False,8,6,numeric 2/2,numeric 2/2,numeric 2/2,Canonical identity taken from sealed matrix/registry; support may be natural rather than padded where declared.
pca,PCA,classical,target-free ranking,model-specific K=20 LR / K=40 CatBoost unless natural-support or full-feature identity,fold training and full DEV where registered,False,20,4,numeric 2/2,numeric 2/2,not registered,Canonical identity taken from sealed matrix/registry; support may be natural rather than padded where declared.
statistical_normalized_average_rank,Statistical rank ensemble,classical,supervised,model-specific K=20 LR / K=40 CatBoost unless natural-support or full-feature identity,fold training and full DEV where registered,False,2,4,numeric 2/2,numeric 2/2,unavailable 0/2,Canonical identity taken from sealed matrix/registry; support may be natural rather than padded where declared.
iv_then_boruta,IV then Boruta,classical hybrid,supervised,model-specific K=20 LR / K=40 CatBoost unless natural-support or full-feature identity,fold training and full DEV where registered,False,28,18,numeric 6/6,numeric 6/6,numeric 6/6,Canonical identity taken from sealed matrix/registry; support may be natural rather than padded where declared.
