role,path,required,exists,size_bytes,sha256,status
prompt1_manifest,results/clip/dry_run/training_manifest.json,True,True,76314,a6acde75b4b382b08030a83ce21d212f0667d9a63a68aaa68486841f8c229f9e,pass
prompt2_text_summary,results/clip/text_baseline/text_baseline_summary.json,True,True,4415,9b8562041db72744a1e821d8e791aea6e536012bfc7b2abc4d02508a63d03100,pass
prompt3_statistical_summary,results/clip/statistical_baseline/statistical_baseline_summary.json,True,True,10806,ef6a672209351f58591aae111d7274134aa9de2727339145e5632d2f468bd4bd,pass
prompt3_statistical_preprocessor,results/clip/statistical_baseline/statistical_preprocessor.json,True,True,622,5cd46937ddb91c876eb3c89310b01c82c8ca0f7256585a838f73aced011d14ad,pass
prompt4_pair_manifest,results/clip/contrastive_data/contrastive_pair_manifest.json,True,True,8688,dc83c451127b5ae20ce3f959cd6ae9e4ce84a01eb221d76e9c18547cc7be5f16,pass
prompt4_tensor_schema,results/clip/contrastive_data/contrastive_tensor_schema.json,True,True,1077,5c501e6bd1b2abd4581046803ad4be2d40b14599f40ff8bc84cd6bdfec62d02a,pass
prompt5_training_manifest,results/clip/training/training_manifest.json,True,True,1912,ec3c17ddd64d67f812d8081ed2c54416cdbf310cd63001612d4985b46b34cc0e,pass
prompt5_model_selection,results/clip/training/model_selection_manifest.json,True,True,2580,3f57528732929f8339f370c456f704db4bf1a0b3f74d976f2cd409dffa65883b,pass
prompt5_seed_comparison,results/clip/training/seed_comparison.csv,True,True,1026,3889543c6ef7f86f333178acc16bb57667b4b7b9001a419c220c4a1d046f5eaa,pass
prompt5_selected_checkpoint,results/clip/training/seeds/seed_55/best_checkpoint.pt,True,True,114049,3f21fc12060036f117aedf9a610856c72fa9a0ce6a1540403e572de4423d7385,pass
prompt5_homecredit_anchor,results/clip/training/learned_anchor_manifest.json,True,True,1244,c206b3cd47a2ea5fabe54a3ed0af8b899ec5d8d703844287f32bcee9c283cd90,pass
prompt6_integration_manifest,results/clip/selector_integration/integration_manifest.json,True,True,3634,45a6ed4b8ae8ce4827f3ef53d153b5a8a7cdda7017d14a83d30281de4b480ec4,pass
prompt7_run_manifest,results/clip/final_evaluation/run_manifest.json,True,True,13145,92dce20a231f1ca1c4764c7097054842c8bdcecbce6df60f16068451a300ebe2,pass
prompt7_evaluation_summary,results/clip/final_evaluation/evaluation_summary.csv,True,True,7520,d1b12537688b4875940e6ecdbe7619f13ae6dea74c01ca00eee663d42f757904,pass
prompt7_comparison,results/clip/final_evaluation/comparison_with_frozen_baselines.csv,True,True,31609,3041349011cc3b93984ef7d2369e680230371bc52dc86f5281aaf4aea96ddf73,pass
prompt8_analysis_summary,results/clip/final_analysis/analysis_summary.json,True,True,1031,fe448507c02534bee51afa0a7de7bd5bef548a8cbd7e8fc5ff0bafcd987db7a5,pass
prompt8_master_results,results/clip/final_analysis/master_results_table.csv,True,True,9163,ed583108b01babc784b95f6c0f9bf3bb5cbeabcedc7c8633e7b4e2520283e5cb,pass
prompt8_plot_manifest,results/clip/final_analysis/plot_manifest.csv,True,True,1858,4a7512b54f0a075721fe53a0234b11b717c00e5d3175680edf2aa0cd71e7ee9c,pass
report_markdown,reports/final_clip_credit_risk_report.md,True,True,4677,35756e3d159968220a9fc2ef7c8433b51810c44330b23ee60915d1fd678f412a,pass
report_docx,reports/final_clip_credit_risk_report.docx,True,True,2805,9b91769f9a4c8fff7d5a7889986ecc5ea401a3739f8529a47dab038155ddae5f,pass
report_pdf,reports/final_clip_credit_risk_report.pdf,True,True,3156,93fa9d52d49a5af3420d07a52f74545f050ad6c3a88556d8da0ec86fedbf6948,pass
report_verdict,reports/final_clip_scientific_verdict.md,True,True,421,ec3e93df8e707ca174ebffec91e4d17c92f19abcf3c7f2b82102903ee2c88dd5,pass
report_limitations,reports/final_clip_limitations.md,True,True,1207,ea90280cd4b5c325e19bcc22f37355757459f8a8e42ae91c8959458cb91c6841,pass
report_reproducibility,reports/final_clip_reproducibility_manifest.json,True,True,9512,6e5e39f649a8841cf8678509ef039f35ee11b1ca237ff6b7b36fc63ae95227c9,pass
prompt8_plot_01_oot_auc_main_comparison,results/clip/final_analysis/plots/01_oot_auc_main_comparison.png,True,True,132643,5f075aa0a90f03b522457b6721b9aa0389d75c32dad185a049ee0bf9acf6fab4,pass
prompt8_plot_02_oot_auc_delta_with_uncertainty,results/clip/final_analysis/plots/02_oot_auc_delta_with_uncertainty.png,True,True,85410,19443cd5ed67892f6abf6caf0d7f5118a2cea56a6461dd74ad83e0342c02f240,pass
prompt8_plot_03_score_psi_comparison,results/clip/final_analysis/plots/03_score_psi_comparison.png,True,True,139280,dc1e722e2d995c90b541f8dbc2584fba85ec927c0351c317184bc076d95696ea,pass
prompt8_plot_04_semantic_coverage_redundancy,results/clip/final_analysis/plots/04_semantic_coverage_redundancy.png,True,True,126549,654e1229bafd56f358d94e6a864bd2dd4545829cb1f1272ad53d154523a25a41,pass
prompt8_plot_05_clip_seed_robustness,results/clip/final_analysis/plots/05_clip_seed_robustness.png,True,True,61190,97388e4c4e72c44ba4f941b6f9f35462c0fdd54f6d2c8ef2fea38e77fc74a452,pass
