research_id,dataset,method,model,candidate_pool_k,dev_rows,oot_rows,candidate_universe,dev_folds,full_dev_oot_fit,bound_scenario,bound_reason,coverage_status
cdv1-001-homecredit-reference-rf-corr-mrmr-lr-s42,homecredit,reference,lr,reference,99092,120053,529,5,yes,cdv1-capacity-002-lendingclub-v2-full-dev-voting-k300-s42,Home Credit DEV/OOT rows and 529-feature universe are strict subsets of measured LendingClub full-DEV 598649x675; reference omits Boruta and top-K voting work,bounded
cdv1-002-homecredit-voting-k100-lr-s42,homecredit,voting,lr,100,99092,120053,529,5,yes,cdv1-capacity-002-lendingclub-v2-full-dev-voting-k300-s42,Home Credit rows/universe are smaller and K100 is a strict top-K subset of measured K300; OOT publication is covered by conservative 120053-row accounting,bounded
cdv1-003-homecredit-voting-k200-lr-s42,homecredit,voting,lr,200,99092,120053,529,5,yes,cdv1-capacity-002-lendingclub-v2-full-dev-voting-k300-s42,Home Credit rows/universe are smaller and K200 is a strict top-K subset of measured K300; OOT publication is covered by conservative 120053-row accounting,bounded
cdv1-004-homecredit-voting-k300-lr-s42,homecredit,voting,lr,300,99092,120053,529,5,yes,cdv1-capacity-002-lendingclub-v2-full-dev-voting-k300-s42,Home Credit rows/universe are smaller than measured LendingClub full-DEV while K300 path is identical; OOT publication is covered by conservative 120053-row accounting,bounded
cdv1-005-homecredit-reference-rf-corr-mrmr-catboost-s42,homecredit,reference,catboost,reference,99092,120053,529,5,yes,cdv1-capacity-002-lendingclub-v2-full-dev-voting-k300-s42,Reference omits Boruta and top-K voting work; Home Credit rows/universe are strict subsets of measured LendingClub full-DEV and CatBoost branch is measured,bounded
cdv1-006-homecredit-voting-k100-catboost-s42,homecredit,voting,catboost,100,99092,120053,529,5,yes,cdv1-capacity-002-lendingclub-v2-full-dev-voting-k300-s42,Home Credit rows/universe are smaller and K100 is a strict top-K subset of measured K300; CatBoost-40 and OOT accounting are covered,bounded
cdv1-007-homecredit-voting-k200-catboost-s42,homecredit,voting,catboost,200,99092,120053,529,5,yes,cdv1-capacity-002-lendingclub-v2-full-dev-voting-k300-s42,Home Credit rows/universe are smaller and K200 is a strict top-K subset of measured K300; CatBoost-40 and OOT accounting are covered,bounded
cdv1-008-homecredit-voting-k300-catboost-s42,homecredit,voting,catboost,300,99092,120053,529,5,yes,cdv1-capacity-002-lendingclub-v2-full-dev-voting-k300-s42,Home Credit rows/universe are smaller than measured LendingClub full-DEV while K300 and CatBoost-40 paths are identical; OOT accounting is covered,bounded
cdv1-009-lendingclub-v2-reference-rf-corr-mrmr-lr-s42,lendingclub_v2,reference,lr,reference,598649,293105,675,5,yes,cdv1-capacity-002-lendingclub-v2-full-dev-voting-k300-s42,Reference omits Boruta and top-K voting work; exact LendingClub rows/universe are measured and the LR path is covered,bounded
cdv1-010-lendingclub-v2-voting-k100-lr-s42,lendingclub_v2,voting,lr,100,598649,293105,675,5,yes,cdv1-capacity-002-lendingclub-v2-full-dev-voting-k300-s42,K100 is a strict ordered subset of the measured K300 top-K path; OOT publication is conservatively covered by frozen 293105-row schema accounting,bounded
cdv1-011-lendingclub-v2-voting-k200-lr-s42,lendingclub_v2,voting,lr,200,598649,293105,675,5,yes,cdv1-capacity-002-lendingclub-v2-full-dev-voting-k300-s42,K200 is a strict ordered subset of the measured K300 top-K path; OOT publication is conservatively covered by frozen 293105-row schema accounting,bounded
cdv1-012-lendingclub-v2-voting-k300-lr-s42,lendingclub_v2,voting,lr,300,598649,293105,675,5,yes,cdv1-capacity-002-lendingclub-v2-full-dev-voting-k300-s42,Exact LendingClub full-DEV K300 voting path measured through LR-20 and OOT publication is conservatively accounted without opening OOT,bounded
cdv1-013-lendingclub-v2-reference-rf-corr-mrmr-catboost-s42,lendingclub_v2,reference,catboost,reference,598649,293105,675,5,yes,cdv1-capacity-002-lendingclub-v2-full-dev-voting-k300-s42,Reference omits Boruta and top-K voting work; exact LendingClub rows/universe and CatBoost-40 path are covered,bounded
cdv1-014-lendingclub-v2-voting-k100-catboost-s42,lendingclub_v2,voting,catboost,100,598649,293105,675,5,yes,cdv1-capacity-002-lendingclub-v2-full-dev-voting-k300-s42,K100 is a strict ordered subset of measured K300; CatBoost-40 and frozen OOT publication accounting are covered,bounded
cdv1-015-lendingclub-v2-voting-k200-catboost-s42,lendingclub_v2,voting,catboost,200,598649,293105,675,5,yes,cdv1-capacity-002-lendingclub-v2-full-dev-voting-k300-s42,K200 is a strict ordered subset of measured K300; CatBoost-40 and frozen OOT publication accounting are covered,bounded
cdv1-016-lendingclub-v2-voting-k300-catboost-s42,lendingclub_v2,voting,catboost,300,598649,293105,675,5,yes,cdv1-capacity-002-lendingclub-v2-full-dev-voting-k300-s42,Exact LendingClub full-DEV K300 voting path measured through CatBoost-40 and OOT publication is conservatively accounted without opening OOT,bounded
