evidence_class,active_or_historical,dataset,method,model,artifact_role,relative_path,bytes,sha256,authenticated,authentication_reference,notes
baseline,active,homecredit,boruta_random_forest,catboost,manifest,results/full_baseline_v1/runs/homecredit/fbv1-030-homecredit-catboost-boruta-random-forest-s42/manifest.json,17960,a4639f6eba79c14b069a5f2c7e6f47041a3d7b271a0a3177a1c22224da70d18d,True,cleanup/audits/prompt_11_selector_combinations/baseline_completion_authentication.json,
baseline,active,homecredit,boruta_random_forest,catboost,manifested_payload,results/full_baseline_v1/runs/homecredit/fbv1-030-homecredit-catboost-boruta-random-forest-s42/checkpoint.json,15075,c77b0fdbdaf2a37ca64fdd007ea10f80cd26dcfdfb35407fb309e41a26b9b318,True,results/full_baseline_v1/runs/homecredit/fbv1-030-homecredit-catboost-boruta-random-forest-s42/manifest.json,
baseline,active,homecredit,boruta_random_forest,catboost,manifested_payload,results/full_baseline_v1/runs/homecredit/fbv1-030-homecredit-catboost-boruta-random-forest-s42/config.json,4859,63220a7e009a21f24d6e7dc93933ca711af395311503512ab9bb2f199107d24a,True,results/full_baseline_v1/runs/homecredit/fbv1-030-homecredit-catboost-boruta-random-forest-s42/manifest.json,
baseline,active,homecredit,boruta_random_forest,catboost,manifested_payload,results/full_baseline_v1/runs/homecredit/fbv1-030-homecredit-catboost-boruta-random-forest-s42/fold_selections.csv,17438,db6e283a6ad2adce246b3a6e5fc1933558921a93b9e70a0d334ab514dcbd1b01,True,results/full_baseline_v1/runs/homecredit/fbv1-030-homecredit-catboost-boruta-random-forest-s42/manifest.json,
baseline,active,homecredit,boruta_random_forest,catboost,manifested_payload,results/full_baseline_v1/runs/homecredit/fbv1-030-homecredit-catboost-boruta-random-forest-s42/metrics.csv,1630,f7ea47a61bf3e4eddb937b07e6afde1798bc85daaac7fb4a87a80be4d41f6de1,True,results/full_baseline_v1/runs/homecredit/fbv1-030-homecredit-catboost-boruta-random-forest-s42/manifest.json,
baseline,active,homecredit,boruta_random_forest,catboost,manifested_payload,results/full_baseline_v1/runs/homecredit/fbv1-030-homecredit-catboost-boruta-random-forest-s42/predictions_dev.csv,44434488,1a33980e927310305518752a40d7e36a0f2410d7d9942150b5f978160cd503ac,True,results/full_baseline_v1/runs/homecredit/fbv1-030-homecredit-catboost-boruta-random-forest-s42/manifest.json,
baseline,active,homecredit,boruta_random_forest,catboost,manifested_payload,results/full_baseline_v1/runs/homecredit/fbv1-030-homecredit-catboost-boruta-random-forest-s42/predictions_oot.csv,53831249,216ba2735bec1204a3acaf15da6bd4653da5de8aebdeb75ddbcfe3257158d853,True,results/full_baseline_v1/runs/homecredit/fbv1-030-homecredit-catboost-boruta-random-forest-s42/manifest.json,
baseline,active,homecredit,boruta_random_forest,catboost,manifested_payload,results/full_baseline_v1/runs/homecredit/fbv1-030-homecredit-catboost-boruta-random-forest-s42/preflight.json,5649,04dffe0eb46fea93ece18af5bae9523a061df1e2e6b5cccb3d06061cd3eef48e,True,results/full_baseline_v1/runs/homecredit/fbv1-030-homecredit-catboost-boruta-random-forest-s42/manifest.json,
baseline,active,homecredit,boruta_random_forest,catboost,manifested_payload,results/full_baseline_v1/runs/homecredit/fbv1-030-homecredit-catboost-boruta-random-forest-s42/resource_usage.json,171019,6e7db9d45ae178badb5e75414c8f5240bfdb80d1c574078a411e779a77bd16f9,True,results/full_baseline_v1/runs/homecredit/fbv1-030-homecredit-catboost-boruta-random-forest-s42/manifest.json,
baseline,active,homecredit,boruta_random_forest,catboost,manifested_payload,results/full_baseline_v1/runs/homecredit/fbv1-030-homecredit-catboost-boruta-random-forest-s42/run.log,5880,4b5e85743be246aa9a26694a251395f095ab9fd29c8f433a30318531f5387555,True,results/full_baseline_v1/runs/homecredit/fbv1-030-homecredit-catboost-boruta-random-forest-s42/manifest.json,
