dataset,model,llm_method_id,reference_method_id,status,reason,llm_auc,reference_auc,oot_auc_delta,ci_lower,ci_upper,holm_adjusted_p_value,holm_significant,predictive_interpretation,direction,replication_scope,directional_consistency_across_available_datasets
homecredit,lr,llm,mrmr,completed,,0.739955878942978,0.745688916365595,-0.00573303742261733,,,0.75,False,mRMR had higher AUC in 5 folds (0 ties); fold consistency was strong. The exact two-sided p-value was 0.0625; this low-power result must not be interpreted as equivalence or as a replacement for OOT evidence.,negative,original benchmark,mixed
homecredit,lr,stable_core_llm_fill,mrmr,completed,,0.748857251379835,0.745688916365595,0.00316833501423985,,,0.75,False,mRMR had higher AUC in 5 folds (0 ties); fold consistency was strong. The exact two-sided p-value was 0.0625; this low-power result must not be interpreted as equivalence or as a replacement for OOT evidence.,positive,original benchmark,mixed
homecredit,catboost,llm,mrmr,completed,,0.756854015018927,0.766838938191372,-0.00998492317244537,,,0.75,False,mRMR had higher AUC in 5 folds (0 ties); fold consistency was strong. The exact two-sided p-value was 0.0625; this low-power result must not be interpreted as equivalence or as a replacement for OOT evidence.,negative,original benchmark,mixed
homecredit,catboost,stable_core_llm_fill,mrmr,completed,,0.768342615448023,0.766838938191372,0.00150367725665124,,,0.75,False,mRMR had higher AUC in 5 folds (0 ties); fold consistency was strong. The exact two-sided p-value was 0.0625; this low-power result must not be interpreted as equivalence or as a replacement for OOT evidence.,positive,original benchmark,consistent positive
lendingclub_v2,lr,llm,mrmr,completed,,0.692656662842616,0.688630406934596,0.0040262559080193,,,0.75,False,pure LLM had higher AUC in 4 folds (0 ties); fold consistency was moderate. The exact two-sided p-value was 0.1250; this low-power result must not be interpreted as equivalence or as a replacement for OOT evidence.,positive,original benchmark,mixed
lendingclub_v2,lr,stable_core_llm_fill,mrmr,completed,,0.684042921378166,0.688630406934596,-0.00458748555643063,,,1,False,mRMR had higher AUC in 3 folds (0 ties); fold consistency was weak. The exact two-sided p-value was 1.0000; this low-power result must not be interpreted as equivalence or as a replacement for OOT evidence.,negative,original benchmark,mixed
lendingclub_v2,catboost,llm,mrmr,completed,,0.713734008068612,0.700845338980587,0.0128886690880242,,,0.75,False,pure LLM had higher AUC in 5 folds (0 ties); fold consistency was strong. The exact two-sided p-value was 0.0625; this low-power result must not be interpreted as equivalence or as a replacement for OOT evidence.,positive,original benchmark,mixed
lendingclub_v2,catboost,stable_core_llm_fill,mrmr,completed,,0.702841726801333,0.700845338980587,0.00199638782074585,,,0.75,False,Stable-core + LLM-fill had higher AUC in 5 folds (0 ties); fold consistency was strong. The exact two-sided p-value was 0.0625; this low-power result must not be interpreted as equivalence or as a replacement for OOT evidence.,positive,original benchmark,consistent positive
homecredit_model_stability_2024,lr,llm,mrmr_mutual_information,completed,,0.698422219778291,0.739885227959576,-0.0414630081812847,-0.0471452614584249,-0.035748995792929,1.67375894237606e-45,True,not_supported,negative,third dataset shares Home Credit lineage,mixed
homecredit_model_stability_2024,lr,stable_core_llm_fill,mrmr_mutual_information,completed,,0.681477094750896,0.739885227959576,-0.0584081332086792,-0.0651055539504441,-0.0517098756915505,2.48626420092781e-66,True,not_supported,negative,third dataset shares Home Credit lineage,mixed
homecredit_model_stability_2024,catboost,llm,mrmr_mutual_information,completed,,0.76638573768542,0.787018334969473,-0.0206325972840538,-0.0254085135295968,-0.0154237729407147,3.27208240270351e-15,True,not_supported,negative,third dataset shares Home Credit lineage,mixed
homecredit_model_stability_2024,catboost,stable_core_llm_fill,mrmr_mutual_information,completed,,0.814572097158822,0.787018334969473,0.0275537621893485,0.0237087744256858,0.0315974425157855,2.43501208016166e-41,True,strong,positive,third dataset shares Home Credit lineage,consistent positive
