figure_number,stem,title,source_table,population,metric_definition,uncertainty,interpretation,limitation,evidence_status
1,fig_01_oot_performance_by_dataset_method_model,Updated winner in each dataset × model case,tables/updated_six_case_auc_gini.csv,Six feature-selection cases: three datasets × two models; full_features excluded,ROC-AUC and Gini,No intervals supplied,LLM-assisted methods lead four cases; mRMR and IV then Boruta lead one each.,Aggregate winners were supplied and were not independently recomputed from row-level predictions.,current_update
2,fig_02_auc_evidence_revision_timeline,AUC evidence-revision timeline,tables/updated_auc_revision_timeline.csv,Six dataset × model cases across three discrete evidence revisions,ROC-AUC on a focused 0.68–0.90 scale,No intervals supplied,The latest correction moves Home Credit LR to mRMR at 0.77 and LendingClub LR to LLM at 0.74.,"This is a source-revision sequence, not calendar-time model performance; only three revision anchors exist.",current_update
3,fig_03_metric_winner_matrix,Workbook-only winner matrix for all supplied metrics,tables/updated_metric_leaders.csv,All 45 workbook-supplied metric winners,"Winner method and model, with method-family background",None,The matrix exposes cross-metric consistency and exceptions without comparing unlike metric magnitudes.,This workbook-only aggregate view does not supersede the later LR AUC/Gini corrections shown in Figures 1 and 2.,current_update
4,fig_04_oot_ks_by_method,Updated KS winner by dataset,tables/updated_metric_leaders.csv,Three finalized aggregate dataset winners,KS; higher is better,None supplied,The LLM comparison wins all three KS rows by the stated direction rule.,Aggregate winners only; no row-level KS curves or uncertainty were supplied.,current_update
5,fig_05_threshold_metric_winners,Threshold-dependent winner metrics,tables/updated_metric_leaders.csv,"Twelve dataset × metric winners across precision, recall, F1, and accuracy",Threshold-dependent classification metrics; higher is better,None supplied,"Winner identities differ by metric, which prevents one-method approval from being inferred from AUC alone.",Threshold definitions and row-level confusion matrices were not supplied with the update.,current_update
6,fig_06_calibration_error_metrics,Aggregate calibration-error winner metrics,tables/updated_metric_leaders.csv,Six dataset × metric winners across log loss and Brier,Log loss and Brier score; lower is better,None supplied,The supplied LLM comparison wins both error metrics in all three datasets.,"These are aggregate error metrics, not calibration curves; updated probability-level predictions were not supplied.",current_update
7,fig_07_score_psi,Updated score-PSI winner by dataset,tables/updated_metric_leaders.csv,Three finalized aggregate dataset winners,Score PSI; lower is better,None supplied,"Home Credit uses LLM then Boruta, Stability 2024 uses LLM then mRMR, and LendingClub retains Random K because 0.0005986 is lower than the supplied LLM value 0.0345.",Aggregate winners only; PSI was not independently recomputed here.,current_update
8,fig_08_selected_feature_psi,Updated selected-feature PSI winners,tables/updated_metric_leaders.csv,Nine finalized aggregate dataset × feature-PSI-statistic winners,"Mean, median, and maximum feature PSI; lower is better",None supplied,The chart preserves ties and retains non-LLM winners whenever the supplied LLM comparison is worse.,Feature-level PSI values and bin-level diagnostics were not supplied.,current_update
11,fig_11_cross_metric_family_mix,Workbook-only cross-metric winner-family mix,tables/updated_cross_metric_family_summary.csv,Fifteen workbook-supplied metric winners per dataset,Count of aggregate metric wins by method family,None,LLM-assisted and classical methods each dominate different parts of the metric scorecard; mixed/tied cells remain explicit.,"Counts treat each metric equally, do not weight metrics by business importance, and do not supersede the later LR AUC/Gini corrections.",current_update
13,fig_13_llm_incremental_value,Workbook-supplied CatBoost AUC and Gini winners,tables/updated_six_case_auc_gini.csv,Three CatBoost dataset cases,ROC-AUC and Gini,No intervals supplied,Plain LLM leads Home Credit; LLM then mRMR leads Stability 2024 and LendingClub v2.,Aggregate point estimates; no new inferential comparison is claimed.,current_update
14,fig_14_cross_dataset_rank_consistency,Updated cross-case feature-selection winner count,tables/updated_cross_case_method_summary.csv,Six dataset × model cases,Number of cases won,None,LLM and LLM then mRMR each win two cases; mRMR and IV then Boruta each win one.,Counts summarize leaders and do not imply statistical superiority.,current_update
15,fig_15_top_decile_business_metrics,Top-decile business metric winners,tables/updated_metric_leaders.csv,Six dataset × metric winners across lift and bad-rate capture at 10%,Lift and bad-rate capture at the highest-risk decile; higher is better,None supplied,"The same winner leads lift and capture within each dataset, as expected from the shared top-decile ranking cutoff.",Aggregate winners only; no gain/lift curves or decile-level rows were supplied.,current_update
16,fig_16_winner_roc_curves,Finalized winner-only ROC reference profiles,tables/updated_six_case_auc_gini.csv,Exactly six finalized feature-selection winners: three datasets × two models,False-positive rate versus true-positive rate; each monotone reference profile has trapezoidal area equal to the finalized table AUC,No intervals supplied,Every panel contains one winner and the displayed AUC exactly matches the finalized six-case table.,"Profiles are deterministic AUC-matched references, not empirical ROC estimates; row-level finalized predictions were not supplied.",current_update
17,fig_17_winner_calibration_curves,Finalized winner-only calibration feasibility,tables/updated_six_case_auc_gini.csv,"Exactly six finalized AUC winners, with matching-method Brier/log-loss values drawn from the resolved 45-metric scorecard where available",Calibration feasibility under log loss ≥ 2 × Brier; reliability coordinates require row-level probabilities,No intervals supplied,Each panel contains only the finalized AUC winner and states whether a matching calibration curve is mathematically feasible and identifiable.,Aggregate AUC/Brier/log-loss values do not determine calibration-bin coordinates; inconsistent pairs are not plotted as if valid.,current_update
