dataset,method,configuration,model,metric,stored_value,recomputed_value,absolute_difference,relative_difference,absolute_tolerance,relative_tolerance,passed,verdict,prediction_path,metric_path
homecredit,full_features,full,lr,bad_rate_capture_at_10,0.3381362275449102,0.3381362275449102,0.0,0.0,1e-10,1e-10,True,pass,results/full_baseline_v1/runs/homecredit/fbv1-001-homecredit-lr-full-features-s42/predictions_oot.csv,persisted_state_or_manifest
homecredit,full_features,full,lr,brier,0.2033006614785918,0.20330066147859185,5.551115123125783e-17,2.73049535734557e-16,1e-10,1e-10,True,pass,results/full_baseline_v1/runs/homecredit/fbv1-001-homecredit-lr-full-features-s42/predictions_oot.csv,persisted_state_or_manifest
homecredit,full_features,full,lr,gini,0.542991505502231,0.542991505502231,0.0,0.0,1e-10,1e-10,True,pass,results/full_baseline_v1/runs/homecredit/fbv1-001-homecredit-lr-full-features-s42/predictions_oot.csv,persisted_state_or_manifest
homecredit,full_features,full,lr,ks,0.4135745986767379,0.41357459867673785,5.551115123125783e-17,1.3422282560116072e-16,1e-10,1e-10,True,pass,results/full_baseline_v1/runs/homecredit/fbv1-001-homecredit-lr-full-features-s42/predictions_oot.csv,persisted_state_or_manifest
homecredit,full_features,full,lr,lift_at_10,3.3811651278901467,3.3811651278901467,0.0,0.0,1e-10,1e-10,True,pass,results/full_baseline_v1/runs/homecredit/fbv1-001-homecredit-lr-full-features-s42/predictions_oot.csv,persisted_state_or_manifest
homecredit,full_features,full,lr,log_loss,0.6047059413656336,0.6047059413656336,0.0,0.0,1e-10,1e-10,True,pass,results/full_baseline_v1/runs/homecredit/fbv1-001-homecredit-lr-full-features-s42/predictions_oot.csv,persisted_state_or_manifest
homecredit,full_features,full,lr,roc_auc,0.7714957527511155,0.7714957527511155,0.0,0.0,1e-10,1e-10,True,pass,results/full_baseline_v1/runs/homecredit/fbv1-001-homecredit-lr-full-features-s42/predictions_oot.csv,persisted_state_or_manifest
homecredit,full_features,full,catboost,bad_rate_capture_at_10,0.3625561377245509,0.3625561377245509,0.0,0.0,1e-10,1e-10,True,pass,results/full_baseline_v1/runs/homecredit/fbv1-002-homecredit-catboost-full-features-s42/predictions_oot.csv,persisted_state_or_manifest
homecredit,full_features,full,catboost,brier,0.1373412818397661,0.1373412818397661,0.0,0.0,1e-10,1e-10,True,pass,results/full_baseline_v1/runs/homecredit/fbv1-002-homecredit-catboost-full-features-s42/predictions_oot.csv,persisted_state_or_manifest
homecredit,full_features,full,catboost,gini,0.5720640172815799,0.5720640172815799,0.0,0.0,1e-10,1e-10,True,pass,results/full_baseline_v1/runs/homecredit/fbv1-002-homecredit-catboost-full-features-s42/predictions_oot.csv,persisted_state_or_manifest
homecredit,full_features,full,catboost,ks,0.4342309192477752,0.43423091924777524,5.551115123125783e-17,1.2783785946754008e-16,1e-10,1e-10,True,pass,results/full_baseline_v1/runs/homecredit/fbv1-002-homecredit-catboost-full-features-s42/predictions_oot.csv,persisted_state_or_manifest
homecredit,full_features,full,catboost,lift_at_10,3.625349991857864,3.6253499918578638,4.440892098500626e-16,1.2249554135392112e-16,1e-10,1e-10,True,pass,results/full_baseline_v1/runs/homecredit/fbv1-002-homecredit-catboost-full-features-s42/predictions_oot.csv,persisted_state_or_manifest
homecredit,full_features,full,catboost,log_loss,0.431142271188188,0.431142271188188,0.0,0.0,1e-10,1e-10,True,pass,results/full_baseline_v1/runs/homecredit/fbv1-002-homecredit-catboost-full-features-s42/predictions_oot.csv,persisted_state_or_manifest
homecredit,full_features,full,catboost,roc_auc,0.7860320086407899,0.7860320086407899,0.0,0.0,1e-10,1e-10,True,pass,results/full_baseline_v1/runs/homecredit/fbv1-002-homecredit-catboost-full-features-s42/predictions_oot.csv,persisted_state_or_manifest
