stage,executable_symbol,representation,shape,dtype,logical_bytes,lifetime,copy_or_view,evidence_source,avoidable_peak_cause
projected_dev_load,credit_risk_fs.pipelines.common._load_lendingclub_v2_voting_dev,application_train projected frame,"598649 x 679 (675 candidates plus validation fields)","359 float64; 271 int64; 36 str; 13 object",3746936492,worker load through final prediction,single DataLoader-owned frame returned through PreparedVotingPilotData,Prompt4 data_access_log.json load_report,Retained after its last full-universe consumer
canonical_fold_preview,credit_risk_fs.experiments.rank_voting._canonical_first_fold,X_ordered,"598649 x 675",source dtypes,estimated from projected frame,preview call through adapter call,verified material copy via X.iloc[positions].reset_index,source construction and Prompt4 stage trace,First full chronological reorder
fold_local_adapter,credit_risk_fs.experiments.rank_voting.fit_fold_local_voting_adapter,X_ordered,"598649 x 675",source dtypes,estimated from projected frame,adapter selection through returned result,verified second material copy via second _canonical_first_fold call,source construction and Prompt4 stage trace,Second simultaneous full chronological reorder
fold_training_slice,credit_risk_fs.experiments.rank_voting.fit_fold_local_voting_adapter,X_train_raw,"83283 x 675",source dtypes,proportional estimate 521363977,selection through final model,material row slice,source construction,Retained through voters RFE and final fit
fold_validation_slice,credit_risk_fs.experiments.rank_voting.fit_fold_local_voting_adapter,X_validation_raw,"114267 x 675",source dtypes,proportional estimate 715394520,selection through final model,material row slice,source construction,Created before selection although only final selected columns are consumed
selection_encoding,credit_risk_fs.preprocessing.encoding.OriginalFeatureNumericEncoder.transform,X_train_numeric,"83283 x 675",float32,224864100,both voter fits,owned DataFrame consolidated from simultaneously live encoded Series dictionary,source construction and dtype contract,Temporary per-column Series coexist during consolidation
mrmr_input_normalization,credit_risk_fs.selectors.mrmr.RandomForestRelevanceMRMRSelector.fit,X_named,"83283 x 675",float32,224864100,mRMR fit,verified deep copy via X.copy,source construction,Complete encoded matrix duplicated only to assign equal names
mrmr_fit,credit_risk_fs.selectors.mrmr.RandomForestRelevanceMRMRSelector.get_rf_importances,RF estimator-native state,"83283 x 675 plus 128 trees",float32 input plus native estimator,not directly measurable separately,mRMR stage,estimator-owned native allocation inferred not equated to frame bytes,Prompt4 process-tree RSS trace,Unavoidable estimator state but fitted mRMR object remained referenced through Boruta
boruta_fit,credit_risk_fs.selectors.boruta.BorutaSelector.fit,original shadow and concatenated matrices,"83283 x 675 original plus frozen shadows",float32,original input 224864100; shadow/combined native volumes allocator-dependent,Boruta stage,BorutaPy construction verified; exact native allocator ownership not claimed,source construction and Prompt4 process-tree RSS trace,Frozen shadows are required; avoidable surrounding full source/order/slice copies dominated simultaneous ownership
rank_publication,credit_risk_fs.experiments.rank_voting.build_long_voter_ranking_frame,compact ranking tables,"1350 voter rows plus 675 aggregate rows",mixed compact columns,small relative to matrices,selection checkpoint onward,owned compact DataFrames,Prompt4 artifacts,None material
top_k_rfe,credit_risk_fs.experiments.rank_voting.fit_fold_local_voting_adapter,X_rfe_train,"83283 x 200",float32,66626400,RFE stage,material top-K encoding,source construction,Coexisted with full source ordered train validation and 675-feature numeric matrix
final_models,credit_risk_fs.experiments.rank_voting._fit_final_model,selected raw and encoded train/validation,"83283/114267 x 20 or 40",unchanged model preprocessing dtypes,branch dependent,final fit and prediction,branch-local material copies,Prompt4 effective configs,Small selected buffers but upstream full candidate frames remained live
atomic_publication,credit_risk_fs.experiments.atomic_io.write_csv_atomic,CSV serialization buffers,artifact dependent,UTF-8/JSON,compact ranking and prediction scale,publication only,atomic temporary file not a full candidate matrix,Prompt4 artifact/checkpoint manifest,None material
checkpoint_finalization,credit_risk_fs.experiments.checkpointing.CheckpointManager.transition,compact artifact metadata,84 Prompt4 tracked artifacts,JSON,compact,lifecycle,paths hashes and provenance only,Prompt4 checkpoint.json,None material
