claim_id,scope,claim,evidence_strength,evidence_artifact,limitation
authentication_36_of_36,full_matrix,All 36 frozen Prompt 10 cells and Final Cell 036 are authenticated complete.,strong,baseline_completion_authentication.json,"Authentication establishes integrity, not predictive superiority."
metric_reconciliation,persisted_full_dev_and_oot_predictions,All 396 supported saved-prediction metric checks reconcile within frozen tolerances.,strong,baseline_metric_reconciliation.csv,DEV fold prediction vectors were not persisted and therefore cannot be recomputed.
dev_fold_prediction_inference,five_expanding_dev_folds,Paired fold-level prediction inference can be reconstructed from Prompt 10 artifacts.,not_supported,baseline_dev_fold_summary.csv,Only fold metrics and selected sets were persisted; fold prediction vectors are absent.
paired_comparison_001,homecredit/lr/OOT,"iv_woe minus full_features: delta AUC=-0.03334893, paired bootstrap 95% CI [-0.03667937, -0.02990441], Holm-adjusted p=1.0775006e-76.",strong,baseline_pairwise_comparisons.csv,natural-support/count mismatch; non-significance is not equivalence
paired_comparison_002,homecredit/lr/OOT,"mrmr_mutual_information minus full_features: delta AUC=-0.03638000, paired bootstrap 95% CI [-0.03983189, -0.03307764], Holm-adjusted p=6.4956611e-89.",strong,baseline_pairwise_comparisons.csv,natural-support/count mismatch; non-significance is not equivalence
paired_comparison_003,homecredit/lr/OOT,"lasso_l1_logistic minus full_features: delta AUC=-0.02614640, paired bootstrap 95% CI [-0.02931858, -0.02285039], Holm-adjusted p=3.863467e-55.",strong,baseline_pairwise_comparisons.csv,natural-support/count mismatch; non-significance is not equivalence
paired_comparison_004,homecredit/lr/OOT,"legacy_rf_relevance_corr minus full_features: delta AUC=-0.02674369, paired bootstrap 95% CI [-0.02993486, -0.02349282], Holm-adjusted p=2.2212987e-55.",strong,baseline_pairwise_comparisons.csv,natural-support/count mismatch; non-significance is not equivalence
paired_comparison_005,homecredit/lr/OOT,"catboost_shap minus full_features: delta AUC=-0.02136591, paired bootstrap 95% CI [-0.02441003, -0.01832830], Holm-adjusted p=1.7998594e-40.",strong,baseline_pairwise_comparisons.csv,natural-support/count mismatch; non-significance is not equivalence
paired_comparison_006,homecredit/lr/OOT,"boruta_random_forest minus full_features: delta AUC=-0.03175752, paired bootstrap 95% CI [-0.03514835, -0.02834546], Holm-adjusted p=9.1189334e-73.",strong,baseline_pairwise_comparisons.csv,natural-support/count mismatch; non-significance is not equivalence
paired_comparison_007,homecredit/lr/OOT,"rfe_catboost minus full_features: delta AUC=-0.02494966, paired bootstrap 95% CI [-0.02827507, -0.02173804], Holm-adjusted p=1.4683682e-49.",strong,baseline_pairwise_comparisons.csv,natural-support/count mismatch; non-significance is not equivalence
paired_comparison_008,homecredit/lr/OOT,"iv_woe minus random_k: delta AUC=0.11032306, paired bootstrap 95% CI [0.10451144, 0.11608868], Holm-adjusted p=4.9288994e-279.",strong,baseline_pairwise_comparisons.csv,scoped to this dataset/model/OOT split; non-significance is not equivalence
paired_comparison_009,homecredit/lr/OOT,"mrmr_mutual_information minus random_k: delta AUC=0.10729199, paired bootstrap 95% CI [0.10142106, 0.11301637], Holm-adjusted p=8.9414156e-264.",strong,baseline_pairwise_comparisons.csv,scoped to this dataset/model/OOT split; non-significance is not equivalence
paired_comparison_010,homecredit/lr/OOT,"lasso_l1_logistic minus random_k: delta AUC=0.11752559, paired bootstrap 95% CI [0.11178236, 0.12340904], Holm-adjusted p=2.0842278e-311.",strong,baseline_pairwise_comparisons.csv,natural-support/count mismatch; non-significance is not equivalence
paired_comparison_011,homecredit/lr/OOT,"legacy_rf_relevance_corr minus random_k: delta AUC=0.11692830, paired bootstrap 95% CI [0.11132438, 0.12263223], Holm-adjusted p=0.",strong,baseline_pairwise_comparisons.csv,scoped to this dataset/model/OOT split; non-significance is not equivalence
paired_comparison_012,homecredit/lr/OOT,"catboost_shap minus random_k: delta AUC=0.12230608, paired bootstrap 95% CI [0.11653678, 0.12834974], Holm-adjusted p=0.",strong,baseline_pairwise_comparisons.csv,scoped to this dataset/model/OOT split; non-significance is not equivalence
paired_comparison_013,homecredit/lr/OOT,"boruta_random_forest minus random_k: delta AUC=0.11191447, paired bootstrap 95% CI [0.10648777, 0.11739871], Holm-adjusted p=1.3217252e-314.",strong,baseline_pairwise_comparisons.csv,natural-support/count mismatch; non-significance is not equivalence
paired_comparison_014,homecredit/lr/OOT,"rfe_catboost minus random_k: delta AUC=0.11872233, paired bootstrap 95% CI [0.11297004, 0.12445922], Holm-adjusted p=4.9406565e-322.",strong,baseline_pairwise_comparisons.csv,scoped to this dataset/model/OOT split; non-significance is not equivalence
paired_comparison_015,homecredit/catboost/OOT,"iv_woe minus full_features: delta AUC=-0.01746130, paired bootstrap 95% CI [-0.01938344, -0.01538993], Holm-adjusted p=9.2374495e-61.",strong,baseline_pairwise_comparisons.csv,natural-support/count mismatch; non-significance is not equivalence
paired_comparison_016,homecredit/catboost/OOT,"mrmr_mutual_information minus full_features: delta AUC=-0.02613323, paired bootstrap 95% CI [-0.02864886, -0.02363632], Holm-adjusted p=1.5864511e-95.",strong,baseline_pairwise_comparisons.csv,natural-support/count mismatch; non-significance is not equivalence
paired_comparison_017,homecredit/catboost/OOT,"lasso_l1_logistic minus full_features: delta AUC=-0.01180580, paired bootstrap 95% CI [-0.01358477, -0.00997578], Holm-adjusted p=3.7958912e-35.",strong,baseline_pairwise_comparisons.csv,natural-support/count mismatch; non-significance is not equivalence
paired_comparison_018,homecredit/catboost/OOT,"legacy_rf_relevance_corr minus full_features: delta AUC=-0.01622746, paired bootstrap 95% CI [-0.01813916, -0.01435398], Holm-adjusted p=4.5397485e-61.",strong,baseline_pairwise_comparisons.csv,natural-support/count mismatch; non-significance is not equivalence
paired_comparison_019,homecredit/catboost/OOT,"catboost_shap minus full_features: delta AUC=-0.00649681, paired bootstrap 95% CI [-0.00825953, -0.00480713], Holm-adjusted p=9.59313e-14.",strong,baseline_pairwise_comparisons.csv,natural-support/count mismatch; non-significance is not equivalence
