component,Home Credit rule/input,LendingClub rule/input,must be identical?,allowed predeclared difference,fit boundary,evidence path/symbol,status
target orientation,TARGET=1 means payment difficulty,TARGET=1 means bad finalized outcome,yes,Dataset-specific business meaning only; positive class is 1 and higher probability means greater default risk,immutable row contract,"configs/protocols/row_alignment_contract_v1.json; configs/protocols/credit_scoring_extension_v1.yaml",verified
row identity and chronological ordering,"SK_ID_CURR; DEV [-600,-240); OOT [-240,0]; grouped recent_decision","authenticated loan_id; DEV [-1795,-1065); OOT [-1065,-730]; recent_decision then loan_id",rule yes inputs no,Identity column split bounds row counts and frozen hashes,validation before folds,"row_alignment_contract_v1.json; credit_risk_fs.experiments.lendingclub_identity",verified
candidate-universe construction,529 post-engineering eligible application-time features from seven projected raw tables,675 eligible application-time features from frozen inventory,yes,Dataset-specific feature definitions and universe sizes,before every voter fit,"data/homecredit/metadata/raw_schema_snapshot.json; data/lendingclub_v2/metadata/feature_inventory.csv",verified_with_prompt_4_manifest_gap
leakage exclusions,"TARGET recent_decision PREV_recent_decision_MAX DAYS_DECISION application_time_proxy and identifiers","TARGET recent_decision issue_d loan_status and frozen leakage blacklist",yes,Dataset-specific leakage field names,before voter and model access,"configs/datasets/homecredit.yaml; configs/datasets/lendingclub_v2.yaml; rank_voting.DEFAULT_FORBIDDEN_FEATURES",verified
feature-name normalization,NFC trim and casefold for matching; original name retained,NFC trim and casefold for matching; original name retained,yes,None,before aggregation,credit_risk_fs.experiments.rank_voting._canonical_name,verified
rf_corr_mrmr voter,RF impurity relevance plus correlation redundancy on 529-feature fold-training universe,Same rule on 675-feature fold-training universe,yes,Universe and data differ; top-300 finite ranking is common,DEV training fold or full DEV only,credit_risk_fs.selectors.mrmr.RandomForestRelevanceMRMRSelector,available_adapter_required
boruta voter,Boruta shadow-feature full ranking on Home Credit fold-training universe,Same rule on LendingClub fold-training universe,yes,Universe and data differ,DEV training fold or full DEV only,credit_risk_fs.selectors.boruta.BorutaSelector.feature_ranking_,available_adapter_required
rank normalization,"1-(rank-1)/max(N-1,1); missing=0","1-(rank-1)/max(N-1,1); missing=0",yes,N is the dataset eligible-universe size,after fold-local voters,credit_risk_fs.experiments.rank_voting.aggregate_cross_dataset_rank_voting,implemented
aggregation and aliases,Equal 0.5/0.5 mean; duplicate voter aliases rejected,Equal 0.5/0.5 mean; duplicate voter aliases rejected,yes,None,after fold-local voters,credit_risk_fs.experiments.rank_voting,implemented
tie behavior,Presence descending then best rank ascending then normalized name ascending,Same,yes,None,after aggregate score,credit_risk_fs.experiments.rank_voting.aggregate_cross_dataset_rank_voting,implemented
candidate pools,"K=100 sensitivity K=200 primary K=300 sensitivity",Same,yes,None,after aggregate rank,configs/protocols/cross_dataset_rank_voting_v1.yaml,verified
downstream selector,CatBoost-backed RFE over current K in aggregate order,Same,yes,Final requested budget differs by model not dataset,DEV training fold or full DEV only,credit_risk_fs.selectors.rfe.RFESelector,available_registry_and_trace_gap
LR preprocessing,Fit numeric imputation/scaling and categorical encoding on selected training columns only,Same,yes,Dataset-specific categorical frequencies may differ,fold training or full DEV only,credit_risk_fs.preprocessing.encoding.Preprocessor,verified_boundary
LR model,"liblinear max_iter=1000 class_weight=balanced seed=42","Same",yes,None,fold training or full DEV only,"configs/base.yaml#model_params.lr; LogisticRegressionModel",verified
CatBoost preprocessing,Fit shared preprocessor on selected training columns only,Same,yes,LendingClub cat_min_frequency=50 versus Home Credit default 10 is predeclared dataset input,fold training or full DEV only,credit_risk_fs.preprocessing.encoding.Preprocessor,verified_boundary
CatBoost model,"Frozen config including iterations=1500 and seed=42","Same",yes,None,fold training or full DEV only,"configs/base.yaml#model_params.catboost; CatBoostModel",verified_config_pin_required
DEV folds,Five expanding grouped time-series folds with one unique-time-group gap,Same,yes,Dataset-specific time values and row identities,supervised fits see training partition only,credit_risk_fs.models._cv_utils.GroupedTimeSeriesSplit,verified
DEV predictions,Complete out-of-fold stable-identity predictions only,Complete out-of-fold stable-identity predictions only,yes,Row counts and identity hashes differ,predict held-out fold only,credit_risk_fs.models.training.reconcile_oof_predictions,verified_contract_gap
full-DEV refit,Refit both voters RFE preprocessing and model on all DEV,Same,yes,Dataset/model data and final budget,full DEV only,credit_risk_fs.pipelines.common.run_experiment,verified_boundary_adapter_gap
OOT scoring,Transform and score locked OOT once,Same,yes,Dataset-specific locked rows,predict only; never fit or choose,configs/protocols/cross_dataset_rank_voting_v1.yaml,verified
final LR feature budget,20,20,yes,None,validated after RFE,configs/protocols/cross_dataset_rank_voting_v1.yaml,verified
final CatBoost feature budget,40,40,yes,None,validated after RFE,configs/protocols/cross_dataset_rank_voting_v1.yaml,verified
prediction schema,"stable_row_id target prediction_probability fold_id/order key plus provenance","Same physical schema",yes,Identity values row counts and source hashes,after prediction only,credit_risk_fs.pipelines.common.export_prediction_artifact,adapter_gap
prediction hashes,Source-contract hashes plus artifact-order ID and ID-target hashes,Same hash algorithms,yes,Hash values and source ordering differ,after atomic temporary validation,credit_risk_fs.experiments.row_alignment,adapter_gap
metrics,AUC primary plus Gini KS Lift@10 PSI and stability,Same,yes,Dataset/model values,after validated predictions,credit_risk_fs.evaluation.metrics and stability,verified
paired inference,Three voting pools versus new same-pair rf_corr_mrmr reference,Same,yes,Four separate dataset-model Holm families,after all four family runs complete,credit_risk_fs.evaluation.paired_inference,verified_integration_gap
execution policy,One run one fold zero loader workers four estimator threads no nesting,Same,yes,None,parent-supervised spawned worker,configs/execution/local_laptop_safe_v1.yaml,verified
