claim_id,claim,rating,supporting_evidence,contrary_evidence,limitations,allowed_wording,prohibited_wording
A,LLM semantic screening produced a useful candidate pool.,moderate,LLM → mRMR OOT AUC was 0.738098 (LR) and 0.762954 (CatBoost).,Both rows were below the full mRMR baseline.,No isolated causal test of LLM screening; no pooled OOF.,The LLM screen produced a useful compact candidate pool.,The LLM screen was superior to full-pool selection.
B,Corrected CLIP learned meaningful semantic-statistical structure.,strong,"Forward/reverse purity 0.528125/0.753899, both above shuffled p97.5.",Embedding structure did not ensure competitive downstream prediction.,Purity taxonomies differ; UMAP is not predictive evidence.,Corrected CLIP learned non-random semantic-statistical structure.,UMAP proves predictive utility.
C,LLM → corrected CLIP → mRMR outperformed LLM → mRMR for LR.,not supported,KS increased by only 0.000533.,AUC decreased by 0.001102; no paired test.,Stable borrower IDs are absent.,LR predictive results were mixed with no clear gain.,The combined LR pipeline outperformed LLM → mRMR.
D,LLM → corrected CLIP → mRMR outperformed LLM → mRMR for CatBoost.,weak,AUC increased by 0.000866.,KS decreased by 0.000878; the AUC change is tiny and untested.,Stable borrower IDs are absent.,"CatBoost showed a tiny descriptive AUC increase, not clear superiority.",The combined CatBoost pipeline was superior or equivalent.
E,Corrected CLIP improved score stability after LLM.,moderate,CatBoost PSI fell from 0.008286 to 0.004094.,LR PSI rose from 0.003798 to 0.004898.,Conclusion differs by model.,Score stability improved for CatBoost but not LR.,Corrected CLIP consistently improved score stability.
F,Home Credit-trained corrected CLIP produced structured LendingClub embeddings.,strong,Purity 0.528125 vs shuffled p97.5 0.110430; trustworthiness 0.979712.,No corrected forward downstream prediction run.,External-validation labels assess representation only.,Forward LendingClub embeddings show non-random local structure.,Forward UMAP proves predictive transfer.
G,LendingClub-trained corrected CLIP produced structured Home Credit embeddings.,strong,Purity 0.753899 vs shuffled p97.5 0.153905; trustworthiness 0.987602.,Reverse downstream performance was weak relative to Home Credit pipelines.,Ninety-five reconciliation records were ineligible.,Reverse Home Credit embeddings show non-random local structure.,Reverse UMAP proves model quality.
H,Forward representation transfer was successful.,strong,Authenticated 576-row external matrix and strong original-space diagnostic.,No forward downstream model.,Success is representation-level only.,Forward representation transfer was successful.,Forward predictive transfer was successful.
I,Reverse representation transfer was successful.,strong,"Five seeds, frozen projection, 436 reconciled features, strong purity.",Predictive competitiveness was not achieved.,Success is representation-level.,Reverse representation transfer was successful.,Reverse representation success proves robust prediction.
J,Reverse downstream LR transfer was useful.,not supported,The saved evaluation is technically valid.,OOT AUC 0.573203 and KS 0.105769 are weak.,Usefulness threshold was not prespecified.,Reverse LR retained limited discrimination.,Reverse LR transfer was useful or competitive.
K,Reverse downstream CatBoost transfer was useful.,weak,OOT AUC 0.676603 and low pooled-OOF-reference PSI 0.017395.,It remained far below Home Credit-trained alternatives.,Usefulness threshold was not prespecified.,CatBoost recovered moderate signal from the transferred pool.,Reverse CatBoost was competitive.
L,Reverse transfer was competitive.,not supported,CatBoost exceeded reverse LR.,Both models trailed Home Credit-trained pipelines materially.,"No formal paired test, but gaps are large descriptively.",Reverse transfer was weaker than within-dataset pipelines.,Cross-dataset transfer was competitive.
M,General credit-feature signatures were learned.,moderate,Both directional spaces exceed their shuffled-label references.,Taxonomies differ and downstream transfer is weak.,Feature-level evidence does not cover borrower-level relationships.,The representation captured transferable credit-feature structure.,A universal credit-risk representation was learned.
N,Bidirectional downstream predictive robustness was established.,not supported,Representation evidence exists in both directions.,Forward downstream evidence is absent; reverse prediction is not competitive.,Only one direction has corrected downstream evaluation.,Bidirectional representation evidence is stronger than predictive evidence.,Bidirectional downstream predictive robustness was established.
