path,sha256,size_bytes,purpose,status,source_manifest
artifacts/llm_cache/final_dev_final_dev_057e6ab90ebb87ace03cb4226ab3a984d13305b56a69441008ad68fdf8b2e52c.json,c54e20c9378d5a32c9e71a03d9c156e4f6a8e6d034084a41137d30caf28a2f84,24934,"retained input for significance, feature drift, or LLM cost analysis",required_pending_analysis_input,
artifacts/llm_cache/final_dev_final_dev_a1ac9fe7ca1d7210e2951b803e8ce80723f0111fce748fb286add0738a308dda.json,3164d77a893760ca25b93ed90c4e17695f73f069173298d8545d4f303bf8437f,18145,"retained input for significance, feature drift, or LLM cost analysis",required_pending_analysis_input,
artifacts/llm_cache/final_dev_final_dev_afe89682060385178e0f5ba9f64c56ad823d2a7a58c499092441606ded3a2e2a.json,e9e88a602e2e7c050ce6dad2b2734d80ccac746758107d6bbcc023d0eb0a4ecb,43670,"retained input for significance, feature drift, or LLM cost analysis",required_pending_analysis_input,
artifacts/llm_cache/final_dev_final_dev_cb9a8c1c1031b867519a7ea5dd4539ac1674ecf3670a5c51993052c1f5d38e81.json,ed94c65b8b4a25e71e8317df5cd769996915878728cd9c2f765225a011f7711f,19193,"retained input for significance, feature drift, or LLM cost analysis",required_pending_analysis_input,
artifacts/llm_cache/final_dev_final_dev_e5d202b7c56711b2242337cb448440fda84267a4cfb1586e30bdd2b5dd36c942.json,2526ac4391ccb8417bfbeb143b741bd252b30d1e907031156aae6a258ffdc897,59670,"retained input for significance, feature drift, or LLM cost analysis",required_pending_analysis_input,
artifacts/llm_cache/final_dev_final_dev_ebe19deb711b960b1a39fbcd27491f7f8756f8a2ce271c61b7b06e0fe493577f.json,37dd1d11abb85104d545c1bd96c0102e0cf5ac6e6d5529877f9685c59f5324fa,15821,"retained input for significance, feature drift, or LLM cost analysis",required_pending_analysis_input,
artifacts/llm_cache/final_dev_final_dev_fa2689a62347dfdb4bb99b1a35e54f7b64bd9da0fc2722dac2aa3223f22ad802.json,bac3b55506bbe65d1f3d774fe8525762bf137d88e50b92a8691240b8a3577d95,18899,"retained input for significance, feature drift, or LLM cost analysis",required_pending_analysis_input,
artifacts/llm_cache/final_dev_final_dev_fc624aca05f397c3741cd7378cfc7d010330885f69b48eb44fba648dc000d7b3.json,be35b0f75290f7bef276f14ace83bef51105bbf09689535aeb34be6c14e06fc8,21804,"retained input for significance, feature drift, or LLM cost analysis",required_pending_analysis_input,
artifacts/llm_cache/fold_fold_1_0ff5116316577a1bf93c5f572f60ac552d9bd865bf84eccf989b81f105c87d50.json,8b9543574db477ef3e3ce5eb022222372c1e05012dbc7a26cceb2b1a03bdd0b6,43664,"retained input for significance, feature drift, or LLM cost analysis",required_pending_analysis_input,
artifacts/llm_cache/fold_fold_1_11598578eae123d8354bfd6bac82f9c76c5b1c2cf930a6bac5b4b17c19ae8f67.json,4800f0946f6e3072c11faf5ff2d6e5834666a4dcf8d895cb5db64e983d753063,17878,"retained input for significance, feature drift, or LLM cost analysis",required_pending_analysis_input,
artifacts/llm_cache/fold_fold_1_1f3827af3589be3b9f6d77baf0adb729de573a9e92f1c66f9afc366fd790863c.json,9a5298d0396b2732379b149f42e2ccc0b7995ccc3f953d0a3113b9db8965b3e6,23042,"retained input for significance, feature drift, or LLM cost analysis",required_pending_analysis_input,
artifacts/llm_cache/fold_fold_1_4afa271fed36faf4a4daae246e8ceb6f96d315b60b692db379203589aaa387b6.json,18e528f7445ee876029933d2a9cb92cbd9a62c1dd482a00bda4851f01361e725,18628,"retained input for significance, feature drift, or LLM cost analysis",required_pending_analysis_input,
